Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,392,580,188,250,579.0,0.48,
Existants,J2,166,166,0,189,165.0,0.0,
Existants,J3,101,101,0,235,100.0,0.0,
Existants,J4,0,0,0,179,-1.0,,
Existants,J5,466,356,-110,233,355.0,-0.24,
Existants,J6,222,222,0,228,221.0,0.0,
Existants,J7,373,387,14,263,386.0,0.04,
Existants,J8,19,19,0,119,18.0,0.0,
Existants,J9,0,0,0,203,-1.0,,
Existants,J10,27,27,0,192,26.0,0.0,
Existants,J11,25,25,0,151,24.0,0.0,
Nouveaux acceptés,J12,,174,,553,0.31,,
Nouveaux acceptés,J13,,345,,598,0.58,,
Nouveaux acceptés,J14,,11,,521,0.02,,
Nouveaux acceptés,J15,,306,,579,0.53,,
Nouveaux acceptés,J16,,149,,650,0.23,,
