Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,42,0,-42,162,-1.0,-1.0,
Existants,J2,154,134,-20,105,133.0,-0.13,
Existants,J3,157,271,114,129,270.0,0.73,
Existants,J4,59,0,-59,194,-1.0,-1.0,
Existants,J5,131,109,-22,79,108.0,-0.17,
Nouveaux acceptés,J6,,176,,130,1.35,,
Nouveaux acceptés,J7,,299,,186,1.61,,
Nouveaux acceptés,J8,,297,,136,2.18,,
Nouveaux acceptés,J9,,58,,175,0.33,,
Nouveaux acceptés,J10,,184,,128,1.44,,
Nouveaux acceptés,J11,,239,,200,1.2,,
Nouveaux acceptés,J12,,287,,172,1.67,,
