Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,162,-1.0,,
Existants,J2,167,113,-54,105,112.0,-0.32,
Existants,J3,175,243,68,129,242.0,0.39,
Existants,J4,0,0,0,194,-1.0,,
Existants,J5,156,242,86,79,241.0,0.55,
Nouveaux acceptés,J6,,212,,186,1.14,,
Nouveaux acceptés,J7,,115,,136,0.85,,
Nouveaux acceptés,J8,,191,,175,1.09,,
Nouveaux acceptés,J9,,5,,169,0.03,,
Nouveaux acceptés,J10,,57,,200,0.28,,
Nouveaux acceptés,J11,,246,,172,1.43,,
