Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,111,-1.0,,
Existants,J2,167,209,42,91,208.0,0.25,
Existants,J3,40,40,0,110,39.0,0.0,
Existants,J4,99,94,-5,153,93.0,-0.05,
Existants,J5,62,62,0,82,61.0,0.0,
Nouveaux acceptés,J6,,145,,289,0.5,,
Nouveaux acceptés,J7,,41,,330,0.12,,
Nouveaux acceptés,J8,,340,,344,0.99,,
Nouveaux acceptés,J9,,287,,284,1.01,,
Nouveaux acceptés,J10,,459,,348,1.32,,
Nouveaux acceptés,J11,,341,,289,1.18,,
Nouveaux acceptés,J12,,160,,297,0.54,,
Nouveaux acceptés,J13,,181,,329,0.55,,
Nouveaux acceptés,J14,,272,,332,0.82,,
Nouveaux acceptés,J15,,390,,343,1.14,,
Nouveaux acceptés,J16,,557,,353,1.58,,
