Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,42,0,-42,162,-1.0,-1.0,
Existants,J2,154,150,-4,105,149.0,-0.03,
Existants,J3,157,169,12,129,168.0,0.08,
Existants,J4,59,0,-59,194,-1.0,-1.0,
Existants,J5,131,139,8,79,138.0,0.06,
Nouveaux acceptés,J6,,416,,262,1.59,,
Nouveaux acceptés,J7,,390,,123,3.17,,
Nouveaux acceptés,J8,,663,,130,5.1,,
Nouveaux acceptés,J9,,153,,186,0.82,,
Nouveaux acceptés,J10,,156,,136,1.15,,
Nouveaux acceptés,J11,,219,,175,1.25,,
Nouveaux acceptés,J12,,582,,159,3.66,,
Nouveaux acceptés,J13,,347,,120,2.89,,
Nouveaux acceptés,J14,,176,,169,1.04,,
Nouveaux acceptés,J15,,319,,200,1.59,,
Nouveaux acceptés,J16,,77,,172,0.45,,
Nouveaux acceptés,J17,,462,,155,2.98,,
