Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,10,0,-10,162,-1.0,-1.0,
Existants,J2,208,242,34,105,241.0,0.16,
Existants,J3,143,114,-29,129,113.0,-0.2,
Existants,J4,50,21,-29,194,20.0,-0.58,
Existants,J5,99,70,-29,79,69.0,-0.29,
Nouveaux acceptés,J6,,443,,337,1.31,,
Nouveaux acceptés,J7,,49,,257,0.19,,
Nouveaux acceptés,J8,,412,,198,2.08,,
Nouveaux acceptés,J9,,368,,203,1.81,,
Nouveaux acceptés,J10,,237,,234,1.01,,
Nouveaux acceptés,J11,,524,,195,2.69,,
Nouveaux acceptés,J12,,408,,244,1.67,,
Nouveaux acceptés,J13,,257,,271,0.95,,
