Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,1.0,153,139,-14,12,0,0.0,-12,229,141
Existants,J2,1.0,159,175,16,19,35,35.0,16,229,140
Nouveaux acceptés,J3,1.0,,229,,,93,93.0,,229,136
