Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,82,-1.0,,
Existants,J2,21,21,0,104,20.0,0.0,
Existants,J3,57,57,0,128,56.0,0.0,
Existants,J4,116,116,0,140,115.0,0.0,
Existants,J5,0,0,0,83,-1.0,,
Nouveaux acceptés,J6,,438,,380,1.15,,
Nouveaux acceptés,J7,,25,,373,0.07,,
Nouveaux acceptés,J8,,277,,404,0.69,,
Nouveaux acceptés,J9,,334,,393,0.85,,
Nouveaux acceptés,J10,,453,,424,1.07,,
Nouveaux acceptés,J11,,0,,357,0.0,,
Nouveaux acceptés,J12,,49,,400,0.12,,
Nouveaux acceptés,J13,,278,,393,0.71,,
Nouveaux acceptés,J14,,274,,363,0.75,,
Nouveaux acceptés,J15,,557,,424,1.31,,
Nouveaux acceptés,J16,,532,,406,1.31,,
Nouveaux acceptés,J17,,341,,409,0.83,,
Nouveaux acceptés,J18,,0,,369,0.0,,
