Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,10,309,299,162,308.0,29.9,
Existants,J2,181,0,-181,105,-1.0,-1.0,
Existants,J3,121,283,162,129,282.0,1.34,
Existants,J4,27,0,-27,194,-1.0,-1.0,
Existants,J5,148,96,-52,79,95.0,-0.35,
Nouveaux acceptés,J6,,415,,182,2.28,,
Nouveaux acceptés,J7,,26,,186,0.14,,
Nouveaux acceptés,J8,,104,,136,0.76,,
Nouveaux acceptés,J9,,141,,175,0.81,,
Nouveaux acceptés,J10,,375,,159,2.36,,
Nouveaux acceptés,J11,,269,,120,2.24,,
Nouveaux acceptés,J12,,49,,169,0.29,,
Nouveaux acceptés,J13,,0,,172,0.0,,
Nouveaux acceptés,J14,,167,,155,1.08,,
