Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,54,54,0,208,53.0,0.0,
Existants,J2,0,0,0,129,-1.0,,
Existants,J3,119,119,0,213,118.0,0.0,
Existants,J4,208,208,0,177,207.0,0.0,
Existants,J5,353,348,-5,191,347.0,-0.01,
Existants,J6,41,41,0,181,40.0,0.0,
Existants,J7,241,241,0,206,240.0,0.0,
Existants,J8,0,0,0,170,-1.0,,
Existants,J9,0,0,0,219,-1.0,,
Existants,J10,0,0,0,82,-1.0,,
Nouveaux acceptés,J11,,341,,353,0.97,,
Nouveaux acceptés,J12,,350,,379,0.92,,
Nouveaux acceptés,J13,,244,,343,0.71,,
