Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,161,-1.0,,
Existants,J2,0,0,0,206,-1.0,,
Existants,J3,483,553,70,185,552.0,0.14,
Existants,J4,267,464,197,211,463.0,0.74,
Existants,J5,128,128,0,189,127.0,0.0,
Existants,J6,114,114,0,155,113.0,0.0,
Existants,J7,168,168,0,215,167.0,0.0,
Existants,J8,371,276,-95,194,275.0,-0.26,
Nouveaux acceptés,J9,,322,,483,0.67,,
Nouveaux acceptés,J10,,393,,498,0.79,,
Nouveaux acceptés,J11,,438,,509,0.86,,
Nouveaux acceptés,J12,,511,,500,1.02,,
Nouveaux acceptés,J13,,161,,471,0.34,,
Nouveaux acceptés,J14,,309,,512,0.6,,
