Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,1.0,121,121,0,44,44,44.0,0,203,77
Existants,J2,1.0,84,84,0,4,4,4.0,0,203,80
Nouveaux acceptés,J3,1.0,,146,,,19,19.0,,203,127
Nouveaux acceptés,J4,1.0,,203,,,35,35.0,,203,168
