Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,0.9,80,92,12,0,0,0.0,0,265,117
Nouveaux acceptés,J2,0.07,,164,,,41,2.8,,265,123
Nouveaux acceptés,J3,0.16,,265,,,131,21.12,,265,134
Nouveaux acceptés,J4,0.3,,209,,,86,25.52,,265,123
