Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,1.0,80,80,0,0,0,0.0,0,291,120
Existants,J2,1.0,86,86,0,0,0,0.0,0,291,95
Nouveaux acceptés,J3,1.0,,230,,,6,6.0,,291,224
Nouveaux acceptés,J4,1.0,,224,,,20,20.0,,291,204
Nouveaux acceptés,J5,1.0,,291,,,130,130.0,,291,161
