size,cost_variant,delta_ratio,instance,cut_time_pos,nb_orders,nb_jobs,nb_new_jobs,nb_accepted_new_jobs,accepted_over_new,acceptance_ratio,cmax,total_tardiness,weighted_tardiness,obj,computing_time,delta_tjE
s,portion_of_3_7,0.1,15,middle,2,5,3,1,1/3,0.33,205,81,65.9599,270.9599,4.536037374986336,0.0
s,portion_of_3_7,0.1,15,late,2,5,3,3,3/3,1.0,317,154,93.2138,410.2138,2.4556803749874234,0.0
s,portion_of_3_7,0.1,16,early,2,3,2,2,2/2,1.0,279,158,15.5395,294.5395,1.8533736249955837,0.0
s,portion_of_3_7,0.1,16,middle,2,3,2,2,2/2,1.0,276,49,4.7285,280.7285,1.929070207988843,0.0
s,portion_of_3_7,0.1,16,late,2,3,2,2,2/2,1.0,293,53,5.459,298.459,1.8792925419984383,0.0
s,portion_of_3_7,0.1,17,early,2,3,2,2,2/2,1.0,222,122,18.2773,240.2773,1.5826030830212403,0.0
s,portion_of_3_7,0.1,17,middle,2,3,2,2,2/2,1.0,222,42,4.533200000000001,226.5332,1.572226792020956,0.0
s,portion_of_3_7,0.1,17,late,2,3,2,2,2/2,1.0,259,12,2.6472,261.6472,1.8324507079960313,0.0
s,portion_of_3_7,0.1,18,early,2,4,3,0,0/3,0.0,77,0,0.0,77.0,2.184841582988156,0.0
s,portion_of_3_7,0.1,18,middle,2,4,3,3,3/3,1.0,293,70,24.9904,317.9904,1.7682834590086711,0.0
s,portion_of_3_7,0.1,18,late,2,4,3,3,3/3,1.0,301,81,26.7939,327.7939,1.7669251670013182,0.0
s,portion_of_3_7,0.1,19,early,2,3,2,1,1/2,0.5,116,0,0.0,116.0,3.0567778749973513,0.0
s,portion_of_3_7,0.1,19,middle,2,3,2,2,2/2,1.0,244,21,6.5716,250.5716,1.6943247919843998,0.0
s,portion_of_3_7,0.1,19,late,2,3,2,2,2/2,1.0,244,8,2.6595,246.6595,1.7372487499960698,0.0
s,portion_of_3_7,0.1,20,early,2,5,3,3,3/3,1.0,332,329,73.62610000000001,405.6261,2.815407582995249,0.0
s,portion_of_3_7,0.1,20,middle,2,5,3,3,3/3,1.0,332,333,77.6874,409.6874,2.81890054201358,0.0
s,portion_of_3_7,0.1,20,late,2,5,3,3,3/3,1.0,337,152,48.319,385.319,2.829612834000727,0.0
s,portion_of_3_7,0.2,1,early,2,4,3,3,3/3,1.0,245,192,45.37519999999999,290.3752,1.9733589999959804,0.0
s,portion_of_3_7,0.2,1,middle,2,4,3,3,3/3,1.0,260,122,32.388299999999994,292.3883,2.0068577080091927,0.0
s,portion_of_3_7,0.2,1,late,2,4,3,3,3/3,1.0,255,173,48.8557,303.8557,2.0565347500087228,0.0
s,portion_of_3_7,0.2,2,early,2,4,3,2,2/3,0.67,189,59,20.414,209.414,3.191058458003681,0.0
s,portion_of_3_7,0.2,2,middle,2,4,3,3,3/3,1.0,283,180,59.8659,342.8659,1.8652496660070028,0.0
s,portion_of_3_7,0.2,2,late,2,4,3,1,1/3,0.33,152,0,0.0,152.0,6.029177416989114,0.0
s,portion_of_3_7,0.2,3,early,2,4,3,3,3/3,1.0,184,105,23.591,207.591,1.5198882920085452,0.0
s,portion_of_3_7,0.2,3,middle,2,4,3,3,3/3,1.0,181,32,12.7648,193.7648,1.508336540980963,0.0
s,portion_of_3_7,0.2,3,late,2,4,3,3,3/3,1.0,196,20,3.744,199.744,1.5500342909945175,0.0
s,portion_of_3_7,0.2,4,early,2,4,3,3,3/3,1.0,266,187,34.5188,300.5188,1.9601706659886984,0.0
s,portion_of_3_7,0.2,4,middle,2,4,3,3,3/3,1.0,256,99,9.2142,265.2142,1.911409749998711,0.0
s,portion_of_3_7,0.2,4,late,2,4,3,3,3/3,1.0,290,109,14.042,304.042,1.9952034589950929,0.0
s,portion_of_3_7,0.2,5,early,2,5,3,1,1/3,0.33,152,57,13.7142,165.7142,4.496676042006584,-9.719
s,portion_of_3_7,0.2,5,middle,2,5,3,3,3/3,1.0,363,377,73.3291,436.3291,2.828472499997588,-0.9719
s,portion_of_3_7,0.2,5,late,2,5,3,3,3/3,1.0,370,107,15.9058,385.9058,2.890226834017085,0.0
s,portion_of_3_7,0.2,6,early,2,5,3,0,0/3,0.0,167,53,52.1679,219.1679,4.789339416980511,0.0
s,portion_of_3_7,0.2,6,middle,2,5,3,2,2/3,0.67,236,145,63.3597,299.3597,5.961483833001694,0.0
s,portion_of_3_7,0.2,6,late,2,5,3,3,3/3,1.0,348,102,55.5292,403.5292,2.8429349579964764,0.0
s,portion_of_3_7,0.2,7,early,2,5,3,2,2/3,0.67,334,335,93.4852,427.4852,5.195238666987279,0.0
s,portion_of_3_7,0.2,7,middle,2,5,3,2,2/3,0.67,334,288,88.5693,422.5693,5.151667291997001,0.0
s,portion_of_3_7,0.2,7,late,2,5,3,3,3/3,1.0,369,224,76.9639,445.9639,2.5118416250043083,0.0
s,portion_of_3_7,0.2,8,early,2,5,3,3,3/3,1.0,250,212,38.637699999999995,288.6377,1.8927943750168197,-18.5265
s,portion_of_3_7,0.2,8,middle,2,5,3,1,1/3,0.33,167,18,14.499,181.499,4.191179999994347,-4.0275
s,portion_of_3_7,0.2,8,late,2,5,3,3,3/3,1.0,247,109,27.863,274.863,1.8251249169989023,-4.0275
s,portion_of_3_7,0.2,9,early,2,5,3,2,2/3,0.67,295,175,40.1176,335.1176,5.20126166602131,-37.5847
s,portion_of_3_7,0.2,9,middle,2,5,3,3,3/3,1.0,306,240,87.84360000000001,393.8436,2.1691088750085328,6.328100000000006
s,portion_of_3_7,0.2,9,late,2,5,3,2,2/3,0.67,245,86,47.427499999999995,292.4275,6.339501666021533,0.0
s,portion_of_3_7,0.2,10,early,2,4,3,3,3/3,1.0,235,183,32.7179,267.7179,1.716793083003722,0.0
s,portion_of_3_7,0.2,10,middle,2,4,3,3,3/3,1.0,235,143,26.1991,261.1991,1.7209727079898585,0.0
s,portion_of_3_7,0.2,10,late,2,4,3,3,3/3,1.0,268,153,27.8178,295.8178,1.891929083998548,0.0
s,portion_of_3_7,0.2,11,early,2,4,3,3,3/3,1.0,207,207,28.1609,235.1609,1.8347656670084689,0.0
s,portion_of_3_7,0.2,11,middle,2,4,3,3,3/3,1.0,235,79,12.7911,247.7911,1.910369166987948,0.0
s,portion_of_3_7,0.2,11,late,2,4,3,3,3/3,1.0,252,51,8.3079,260.3079,1.9044145410007332,0.0
s,portion_of_3_7,0.2,12,early,2,5,3,3,3/3,1.0,276,207,55.4675,331.4675,2.1407015419972595,-10.506799999999998
s,portion_of_3_7,0.2,12,middle,2,5,3,1,1/3,0.33,204,69,25.799999999999997,229.8,4.2151470000098925,0.0
s,portion_of_3_7,0.2,12,late,2,5,3,3,3/3,1.0,335,85,34.9259,369.9259,2.3729516660096124,0.0
s,portion_of_3_7,0.2,13,early,2,3,2,1,1/2,0.5,136,0,0.0,136.0,2.800428416026989,0.0
s,portion_of_3_7,0.2,13,middle,2,3,2,2,2/2,1.0,200,23,9.0643,209.0643,1.555770292005036,0.0
s,portion_of_3_7,0.2,13,late,2,3,2,2,2/2,1.0,219,0,0.0,219.0,1.5885860830021556,0.0
s,portion_of_3_7,0.2,14,early,2,4,3,3,3/3,1.0,265,258,49.4337,314.4337,2.1329679589834996,0.0
s,portion_of_3_7,0.2,14,middle,2,4,3,3,3/3,1.0,255,139,24.8073,279.8073,1.9876546250015965,0.0
s,portion_of_3_7,0.2,14,late,2,4,3,3,3/3,1.0,246,79,16.9353,262.9353,1.871853958000429,0.0
s,portion_of_3_7,0.2,15,early,2,5,3,0,0/3,0.0,119,64,60.6848,179.6848,3.8732112910074648,0.0
s,portion_of_3_7,0.2,15,middle,2,5,3,1,1/3,0.33,205,81,65.9599,270.9599,4.706313292001141,0.0
s,portion_of_3_7,0.2,15,late,2,5,3,3,3/3,1.0,317,154,93.2138,410.2138,2.5459018330147956,0.0
s,portion_of_3_7,0.2,16,early,2,3,2,2,2/2,1.0,279,158,15.5395,294.5395,1.965493875002721,0.0
s,portion_of_3_7,0.2,16,middle,2,3,2,2,2/2,1.0,276,49,4.7285,280.7285,1.9386146670149176,0.0
s,portion_of_3_7,0.2,16,late,2,3,2,2,2/2,1.0,293,53,5.459,298.459,1.930591624986846,0.0
s,portion_of_3_7,0.2,17,early,2,3,2,2,2/2,1.0,222,122,18.2773,240.2773,1.6447589590097778,0.0
s,portion_of_3_7,0.2,17,middle,2,3,2,2,2/2,1.0,222,42,4.533200000000001,226.5332,1.6077867079875432,0.0
s,portion_of_3_7,0.2,17,late,2,3,2,2,2/2,1.0,259,12,2.6472,261.6472,1.796477167023113,0.0
s,portion_of_3_7,0.2,18,early,2,4,3,0,0/3,0.0,77,0,0.0,77.0,2.168176458973903,0.0
s,portion_of_3_7,0.2,18,middle,2,4,3,3,3/3,1.0,293,70,24.9904,317.9904,1.7837125829828435,0.0
s,portion_of_3_7,0.2,18,late,2,4,3,3,3/3,1.0,301,81,26.7939,327.7939,1.820241207984509,0.0
s,portion_of_3_7,0.2,19,early,2,3,2,1,1/2,0.5,116,0,0.0,116.0,3.194238124997355,0.0
s,portion_of_3_7,0.2,19,middle,2,3,2,2,2/2,1.0,244,21,6.5716,250.5716,1.7149861250072718,0.0
s,portion_of_3_7,0.2,19,late,2,3,2,2,2/2,1.0,244,8,2.6595,246.6595,1.6900805000041146,0.0
s,portion_of_3_7,0.2,20,early,2,5,3,3,3/3,1.0,332,329,73.62610000000001,405.6261,2.920272291987203,0.0
s,portion_of_3_7,0.2,20,middle,2,5,3,3,3/3,1.0,332,333,77.6874,409.6874,2.8891339170222636,0.0
s,portion_of_3_7,0.2,20,late,2,5,3,3,3/3,1.0,337,152,48.319,385.319,2.8598876250034664,0.0
s,portion_of_3_7,0.5,1,early,2,4,3,3,3/3,1.0,245,192,45.37519999999999,290.3752,1.9919539160036948,0.0
s,portion_of_3_7,0.5,1,middle,2,4,3,3,3/3,1.0,260,122,32.388299999999994,292.3883,2.0219840000208933,0.0
s,portion_of_3_7,0.5,1,late,2,4,3,3,3/3,1.0,255,173,48.8557,303.8557,2.043127083015861,0.0
s,portion_of_3_7,0.5,2,early,2,4,3,2,2/3,0.67,189,59,20.414,209.414,3.1817782500002068,0.0
s,portion_of_3_7,0.5,2,middle,2,4,3,3,3/3,1.0,283,180,59.8659,342.8659,1.87221720899106,0.0
s,portion_of_3_7,0.5,2,late,2,4,3,1,1/3,0.33,152,0,0.0,152.0,6.06859841698315,0.0
s,portion_of_3_7,0.5,3,early,2,4,3,3,3/3,1.0,184,105,23.591,207.591,1.5031382919987664,0.0
s,portion_of_3_7,0.5,3,middle,2,4,3,3,3/3,1.0,181,32,12.7648,193.7648,1.5045707499957643,0.0
