size,cost_variant,delta_ratio,instance,cut_time_pos,nb_orders,nb_jobs,nb_new_jobs,nb_accepted_new_jobs,accepted_over_new,acceptance_ratio,cmax,total_tardiness,weighted_tardiness,obj,computing_time,delta_tjE
l,same_costs,0.1,17,late,2,20,10,10,10/10,1.0,1096,3510,3510.0,4606.0,0.3926420409698039,0.0
l,same_costs,0.1,18,early,2,17,9,2,2/9,0.22,512,954,954.0,1466.0,4.973061666940339,5.0
l,same_costs,0.1,18,middle,2,17,9,9,9/9,1.0,945,2676,2676.0,3621.0,0.8344022909877822,43.0
l,same_costs,0.1,18,late,2,17,9,9,9/9,1.0,947,2421,2421.0,3368.0,0.4799811249831691,0.0
l,same_costs,0.1,19,early,2,15,7,6,6/7,0.86,923,4101,4101.0,5024.0,6.921779958996922,123.0
l,same_costs,0.1,19,middle,2,15,7,6,6/7,0.86,1009,3886,3886.0,4895.0,5.224610832985491,-10.0
l,same_costs,0.1,19,late,2,15,7,7,7/7,1.0,1089,2915,2915.0,4004.0,0.7705043749883771,6.0
l,same_costs,0.1,20,early,2,16,8,1,1/8,0.12,517,1307,1307.0,1824.0,4.507734874961898,62.0
l,same_costs,0.1,20,middle,2,16,8,8,8/8,1.0,784,2308,2308.0,3092.0,0.6369190000696108,-36.0
l,same_costs,0.1,20,late,2,16,8,8,8/8,1.0,864,1816,1816.0,2680.0,0.4095380420330912,0.0
l,same_costs,0.2,1,early,2,20,10,8,8/10,0.8,967,4746,4746.0,5713.0,20.912590209045447,281.0
l,same_costs,0.2,1,late,2,20,10,10,10/10,1.0,1195,4208,4208.0,5403.0,0.4891715000849217,0.0
l,same_costs,0.2,2,early,2,15,7,3,3/7,0.43,762,2562,2562.0,3324.0,11.745764874969607,149.0
l,same_costs,0.2,2,middle,2,15,7,6,6/7,0.86,1011,3837,3837.0,4848.0,2.217796958051622,172.0
l,same_costs,0.2,2,late,2,15,7,7,7/7,1.0,1099,2848,2848.0,3947.0,0.3185125839663669,0.0
l,same_costs,0.2,3,early,2,17,9,4,4/9,0.44,733,1883,1883.0,2616.0,5.396176083944738,31.0
l,same_costs,0.2,3,middle,2,17,9,9,9/9,1.0,807,2637,2637.0,3444.0,0.646061290986836,-22.0
l,same_costs,0.2,3,late,2,17,9,9,9/9,1.0,946,2020,2020.0,2966.0,0.462699459050782,0.0
l,same_costs,0.2,4,early,2,15,7,7,7/7,1.0,862,3966,3966.0,4828.0,1.1158145419321954,-79.0
l,same_costs,0.2,4,middle,2,15,7,5,5/7,0.71,849,2555,2555.0,3404.0,6.96740962495096,269.0
l,same_costs,0.2,4,late,2,15,7,7,7/7,1.0,900,2784,2784.0,3684.0,0.7102423750329763,187.0
l,same_costs,0.2,5,early,2,20,10,8,8/10,0.8,1267,5724,5724.0,6991.0,32.53378579101991,93.0
l,same_costs,0.2,5,middle,2,20,10,7,7/10,0.7,1106,4451,4451.0,5557.0,132.3691679999465,224.0
l,same_costs,0.2,5,late,2,20,10,10,10/10,1.0,1520,5927,5927.0,7447.0,1.0665248329751194,34.0
l,same_costs,0.2,6,early,2,20,10,2,2/10,0.2,778,1992,1992.0,2770.0,3.850784958922304,179.0
l,same_costs,0.2,6,middle,2,20,10,6,6/10,0.6,940,3177,3177.0,4117.0,25.810186625109058,374.0
l,same_costs,0.2,6,late,2,20,10,10,10/10,1.0,1311,3692,3692.0,5003.0,0.4871228340780362,0.0
l,same_costs,0.2,7,early,2,19,9,6,6/9,0.67,660,2437,2437.0,3097.0,17.427310125087388,220.0
l,same_costs,0.2,7,middle,2,19,9,9,9/9,1.0,956,3374,3374.0,4330.0,0.683983666007407,15.0
l,same_costs,0.2,7,late,2,19,9,9,9/9,1.0,958,2236,2236.0,3194.0,0.5836168749956414,0.0
l,same_costs,0.2,8,early,2,19,9,6,6/9,0.67,1033,4127,4127.0,5160.0,24.053349083056673,94.0
l,same_costs,0.2,8,middle,2,19,9,7,7/9,0.78,1044,4145,4145.0,5189.0,13.562439791974612,339.0
l,same_costs,0.2,8,late,2,19,9,9,9/9,1.0,1240,4242,4242.0,5482.0,0.8411170420004055,70.0
l,same_costs,0.2,9,early,2,19,9,4,4/9,0.44,730,2168,2168.0,2898.0,52.62593858304899,200.0
l,same_costs,0.2,9,middle,2,19,9,7,7/9,0.78,931,3460,3460.0,4391.0,26.724780249991458,-79.0
l,same_costs,0.2,9,late,2,19,9,9,9/9,1.0,1157,4295,4295.0,5452.0,0.5979714998975396,37.0
l,same_costs,0.2,10,early,2,20,10,9,9/10,0.9,1237,7279,7279.0,8516.0,9.58076858392451,833.0
l,same_costs,0.2,10,middle,2,20,10,9,9/10,0.9,1294,6754,6754.0,8048.0,3.8405802090419456,140.0
l,same_costs,0.2,10,late,2,20,10,10,10/10,1.0,1356,5182,5182.0,6538.0,0.5712840420892462,0.0
l,same_costs,0.2,11,early,2,17,9,4,4/9,0.44,801,1866,1866.0,2667.0,37.8651419589296,-10.0
l,same_costs,0.2,11,middle,2,17,9,9,9/9,1.0,1135,3629,3629.0,4764.0,0.7545303750084713,36.0
l,same_costs,0.2,11,late,2,17,9,9,9/9,1.0,1198,3505,3505.0,4703.0,0.8401297089876607,0.0
l,same_costs,0.2,12,early,2,15,7,5,5/7,0.71,909,3457,3457.0,4366.0,8.232796208001673,491.0
l,same_costs,0.2,12,middle,2,15,7,6,6/7,0.86,805,2738,2738.0,3543.0,3.744337957934477,132.0
l,same_costs,0.2,12,late,2,15,7,7,7/7,1.0,966,2380,2380.0,3346.0,0.321527749998495,0.0
l,same_costs,0.2,13,early,2,20,10,4,4/10,0.4,813,2421,2421.0,3234.0,44.49225391703658,192.0
l,same_costs,0.2,13,middle,2,20,10,10,10/10,1.0,1169,5043,5043.0,6212.0,1.1709992910036815,183.0
l,same_costs,0.2,14,middle,2,20,10,10,10/10,1.0,1080,4703,4703.0,5783.0,0.7808787920512259,95.0
l,same_costs,0.2,14,late,2,20,10,10,10/10,1.0,1172,3388,3388.0,4560.0,0.4350865830201655,0.0
l,same_costs,0.2,15,middle,2,15,7,6,6/7,0.86,689,2048,2048.0,2737.0,2.049446291057393,112.0
l,same_costs,0.2,15,late,2,15,7,7,7/7,1.0,765,1163,1163.0,1928.0,0.2928975829854607,0.0
l,same_costs,0.2,16,early,2,17,9,5,5/9,0.56,890,2508,2508.0,3398.0,32.12621829204727,224.0
l,same_costs,0.2,16,middle,2,17,9,9,9/9,1.0,1041,2445,2445.0,3486.0,0.4153645420446992,0.0
l,same_costs,0.2,16,late,2,17,9,9,9/9,1.0,1161,2240,2240.0,3401.0,0.4665439169621095,0.0
l,same_costs,0.2,17,early,2,20,10,4,4/10,0.4,794,2476,2476.0,3270.0,49.91323816694785,217.0
l,same_costs,0.2,17,late,2,20,10,10,10/10,1.0,1096,3510,3510.0,4606.0,0.392557332990691,0.0
l,same_costs,0.2,18,early,2,17,9,3,3/9,0.33,578,1237,1237.0,1815.0,7.775105332955718,71.0
l,same_costs,0.2,18,middle,2,17,9,9,9/9,1.0,945,2676,2676.0,3621.0,0.825767416972667,43.0
l,same_costs,0.2,18,late,2,17,9,9,9/9,1.0,947,2421,2421.0,3368.0,0.4249060000292957,0.0
l,same_costs,0.2,19,early,2,15,7,6,6/7,0.86,923,4101,4101.0,5024.0,6.954655917012133,123.0
l,same_costs,0.2,19,middle,2,15,7,7,7/7,1.0,1057,4319,4319.0,5376.0,1.0022969580022618,311.0
l,same_costs,0.2,19,late,2,15,7,7,7/7,1.0,1089,2915,2915.0,4004.0,0.7775857920059934,6.0
l,same_costs,0.2,20,early,2,16,8,1,1/8,0.12,517,1307,1307.0,1824.0,4.5677084169583395,62.0
l,same_costs,0.2,20,middle,2,16,8,8,8/8,1.0,784,2308,2308.0,3092.0,0.6396732080029324,-36.0
l,same_costs,0.2,20,late,2,16,8,8,8/8,1.0,864,1816,1816.0,2680.0,0.3729550839634612,0.0
l,same_costs,0.5,1,early,2,20,10,10,10/10,1.0,1249,7513,7513.0,8762.0,0.6956924999831244,638.0
l,same_costs,0.5,1,late,2,20,10,10,10/10,1.0,1195,4208,4208.0,5403.0,0.4914693341124803,0.0
l,same_costs,0.5,2,early,2,15,7,7,7/7,1.0,1043,5189,5189.0,6232.0,0.9762482079677284,745.0
l,same_costs,0.5,2,middle,2,15,7,7,7/7,1.0,1067,4456,4456.0,5523.0,0.5016028329264373,701.0
l,same_costs,0.5,2,late,2,15,7,7,7/7,1.0,1099,2848,2848.0,3947.0,0.3549212079960853,0.0
l,same_costs,0.5,3,early,2,17,9,6,6/9,0.67,787,2514,2514.0,3301.0,15.30550162505824,303.0
l,same_costs,0.5,3,middle,2,17,9,9,9/9,1.0,807,2637,2637.0,3444.0,0.6483074170537293,-22.0
l,same_costs,0.5,3,late,2,17,9,9,9/9,1.0,946,2020,2020.0,2966.0,0.4171252080705017,0.0
l,same_costs,0.5,4,early,2,15,7,7,7/7,1.0,862,3966,3966.0,4828.0,1.1437445000046864,-79.0
l,same_costs,0.5,4,middle,2,15,7,7,7/7,1.0,890,3336,3336.0,4226.0,0.4789935000007972,506.0
l,same_costs,0.5,4,late,2,15,7,7,7/7,1.0,900,2784,2784.0,3684.0,0.7301197500200942,187.0
l,same_costs,0.5,5,early,2,20,10,9,9/10,0.9,1356,6861,6861.0,8217.0,9.661208083038218,1780.0
l,same_costs,0.5,5,middle,2,20,10,10,10/10,1.0,1456,7365,7365.0,8821.0,1.3361923330230638,485.0
l,same_costs,0.5,5,late,2,20,10,10,10/10,1.0,1520,5927,5927.0,7447.0,1.1343417910393327,34.0
l,same_costs,0.5,6,middle,2,20,10,10,10/10,1.0,1222,5908,5908.0,7130.0,0.6110760000301525,484.0
l,same_costs,0.5,6,late,2,20,10,10,10/10,1.0,1311,3692,3692.0,5003.0,0.4842768750386312,0.0
l,same_costs,0.5,7,early,2,19,9,9,9/9,1.0,872,4385,4385.0,5257.0,0.7161454590968788,619.0
l,same_costs,0.5,7,middle,2,19,9,9,9/9,1.0,956,3374,3374.0,4330.0,0.6842904170043766,15.0
l,same_costs,0.5,7,late,2,19,9,9,9/9,1.0,958,2236,2236.0,3194.0,0.5794131250586361,0.0
l,same_costs,0.5,8,early,2,19,9,7,7/9,0.78,1088,4827,4827.0,5915.0,19.282746999990195,458.0
l,same_costs,0.5,8,middle,2,19,9,9,9/9,1.0,1238,5881,5881.0,7119.0,0.6364476250018924,687.0
l,same_costs,0.5,8,late,2,19,9,9,9/9,1.0,1240,4242,4242.0,5482.0,0.8421000830130652,70.0
