size,cost_variant,delta_ratio,instance,cut_time_pos,nb_orders,nb_jobs,nb_new_jobs,nb_accepted_new_jobs,accepted_over_new,acceptance_ratio,cmax,total_tardiness,weighted_tardiness,obj,computing_time,delta_tjE
m,same_costs,0.1,16,late,2,8,4,4,4/4,1.0,496,487,487.0,983.0,3.7739820840070024,0.0
m,same_costs,0.1,17,early,2,9,5,5,5/5,1.0,413,800,800.0,1213.0,4.352258750004694,12.0
m,same_costs,0.1,17,middle,2,9,5,5,5/5,1.0,380,563,563.0,943.0,4.098334125010297,-45.0
m,same_costs,0.1,17,late,2,9,5,5,5/5,1.0,452,353,353.0,805.0,4.257576041971333,0.0
m,same_costs,0.1,18,early,2,8,4,3,3/4,0.75,505,966,966.0,1471.0,12.705674292054027,0.0
m,same_costs,0.1,18,middle,2,8,4,4,4/4,1.0,529,982,982.0,1511.0,5.273009207914583,0.0
m,same_costs,0.1,18,late,2,8,4,4,4/4,1.0,535,529,529.0,1064.0,4.932199792005122,0.0
m,same_costs,0.1,19,early,2,8,4,4,4/4,1.0,467,710,710.0,1177.0,4.245185083011165,-46.0
m,same_costs,0.1,19,middle,2,8,4,4,4/4,1.0,418,427,427.0,845.0,4.019205791992135,-44.0
m,same_costs,0.1,19,late,2,8,4,4,4/4,1.0,480,376,376.0,856.0,4.16354700003285,0.0
m,same_costs,0.1,20,early,2,9,5,1,1/5,0.2,310,242,242.0,552.0,10.548142458079385,17.0
m,same_costs,0.1,20,middle,2,9,5,2,2/5,0.4,420,416,416.0,836.0,13.290336958016267,0.0
m,same_costs,0.1,20,late,2,9,5,5,5/5,1.0,573,552,552.0,1125.0,4.75342212500982,0.0
m,same_costs,0.2,1,early,2,7,3,1,1/3,0.33,209,121,121.0,330.0,5.813156416988932,0.0
m,same_costs,0.2,1,middle,2,7,3,3,3/3,1.0,260,423,423.0,683.0,3.55130562488921,30.0
m,same_costs,0.2,1,late,2,7,3,3,3/3,1.0,260,155,155.0,415.0,2.7714247499825433,0.0
m,same_costs,0.2,2,early,2,8,4,4,4/4,1.0,543,1163,1163.0,1706.0,5.283279957948253,42.0
m,same_costs,0.2,2,middle,2,8,4,2,2/4,0.5,401,410,410.0,811.0,17.607145416084677,34.0
m,same_costs,0.2,2,late,2,8,4,4,4/4,1.0,538,635,635.0,1173.0,4.96487470890861,0.0
m,same_costs,0.2,3,early,2,8,4,2,2/4,0.5,291,472,472.0,763.0,26.646782333031297,3.0
m,same_costs,0.2,3,middle,2,8,4,4,4/4,1.0,425,519,519.0,944.0,3.988160375040025,0.0
m,same_costs,0.2,3,late,2,8,4,4,4/4,1.0,401,381,381.0,782.0,3.697688415995799,0.0
m,same_costs,0.2,4,early,2,8,4,4,4/4,1.0,447,974,974.0,1421.0,4.604265083093196,50.0
m,same_costs,0.2,4,middle,2,8,4,3,3/4,0.75,367,518,518.0,885.0,14.322225124924444,15.0
m,same_costs,0.2,4,late,2,8,4,4,4/4,1.0,440,393,393.0,833.0,4.21353441698011,0.0
m,same_costs,0.2,5,early,2,8,4,3,3/4,0.75,417,584,584.0,1001.0,16.229520000051707,33.0
m,same_costs,0.2,5,middle,2,8,4,4,4/4,1.0,531,828,828.0,1359.0,4.970852665952407,37.0
m,same_costs,0.2,5,late,2,8,4,4,4/4,1.0,524,522,522.0,1046.0,4.986968499957584,5.0
m,same_costs,0.2,6,early,2,7,3,2,2/3,0.67,350,517,517.0,867.0,8.373085958999582,15.0
m,same_costs,0.2,6,middle,2,7,3,1,1/3,0.33,286,198,198.0,484.0,9.931118000065908,0.0
m,same_costs,0.2,6,late,2,7,3,3,3/3,1.0,416,256,256.0,672.0,3.7273899170104414,0.0
m,same_costs,0.2,7,early,2,9,5,1,1/5,0.2,108,8,8.0,116.0,6.202243624953553,-1.0
m,same_costs,0.2,7,middle,2,9,5,1,1/5,0.2,162,9,9.0,171.0,10.142204458010385,0.0
m,same_costs,0.2,7,late,2,9,5,5,5/5,1.0,334,325,325.0,659.0,3.0957799169700593,0.0
m,same_costs,0.2,8,early,2,10,5,2,2/5,0.4,375,636,636.0,1011.0,20.787276207935065,32.0
m,same_costs,0.2,8,middle,2,10,5,4,4/5,0.8,547,1057,1057.0,1604.0,23.530086916987784,10.0
m,same_costs,0.2,8,late,2,10,5,5,5/5,1.0,628,844,844.0,1472.0,5.552576999994926,0.0
m,same_costs,0.2,9,early,2,9,5,2,2/5,0.4,412,669,669.0,1081.0,25.33176445798017,41.0
m,same_costs,0.2,9,middle,2,9,5,3,3/5,0.6,505,927,927.0,1432.0,75.53683233307675,52.0
m,same_costs,0.2,9,late,2,9,5,5,5/5,1.0,536,750,750.0,1286.0,4.807316832942888,6.0
m,same_costs,0.2,10,early,2,10,5,1,1/5,0.2,295,265,265.0,560.0,11.78713825007435,6.0
