size,cost_variant,delta_ratio,instance,cut_time_pos,nb_orders,nb_jobs,nb_new_jobs,nb_accepted_new_jobs,accepted_over_new,acceptance_ratio,cmax,total_tardiness,weighted_tardiness,obj,computing_time,delta_tjE
s,same_costs,0.1,19,middle,2,3,1,1,1/1,1.0,211,12,12.0,223.0,1.8657428750302645,-19.0
s,same_costs,0.1,19,late,2,3,1,1,1/1,1.0,256,31,31.0,287.0,2.2041017080191523,0.0
s,same_costs,0.1,20,early,2,5,3,0,0/3,0.0,151,51,51.0,202.0,4.479567541973665,0.0
s,same_costs,0.1,20,middle,2,5,3,2,2/3,0.67,256,119,119.0,375.0,5.693210375029594,0.0
s,same_costs,0.1,20,late,2,5,3,3,3/3,1.0,337,267,267.0,604.0,2.880736708990298,0.0
s,same_costs,0.2,1,early,2,5,3,3,3/3,1.0,289,241,241.0,530.0,2.6157974160742015,0.0
s,same_costs,0.2,1,middle,2,5,3,3,3/3,1.0,295,215,215.0,510.0,2.6599309580633417,0.0
s,same_costs,0.2,1,late,2,5,3,3,3/3,1.0,338,92,92.0,430.0,2.566960708005354,0.0
s,same_costs,0.2,2,early,2,5,3,3,3/3,1.0,356,357,357.0,713.0,3.4284872920252383,-42.0
s,same_costs,0.2,2,middle,2,5,3,1,1/3,0.33,262,133,133.0,395.0,6.378669208963402,0.0
s,same_costs,0.2,2,late,2,5,3,3,3/3,1.0,393,296,296.0,689.0,3.5028911670669913,0.0
s,same_costs,0.2,3,early,2,3,1,1,1/1,1.0,253,182,182.0,435.0,1.99820000003092,5.0
s,same_costs,0.2,3,middle,2,3,1,1,1/1,1.0,247,71,71.0,318.0,1.9128106660209596,-1.0
s,same_costs,0.2,3,late,2,3,1,1,1/1,1.0,248,62,62.0,310.0,1.9145642920630053,0.0
s,same_costs,0.2,4,early,2,5,3,3,3/3,1.0,333,418,418.0,751.0,2.9198618329828605,0.0
s,same_costs,0.2,4,middle,2,5,3,1,1/3,0.33,185,51,51.0,236.0,4.948420207947493,0.0
s,same_costs,0.2,4,late,2,5,3,3,3/3,1.0,324,133,133.0,457.0,2.6322314580902457,0.0
s,same_costs,0.2,5,early,2,3,1,0,0/1,0.0,136,22,22.0,158.0,1.4211251669330522,0.0
s,same_costs,0.2,5,middle,2,3,1,0,0/1,0.0,136,22,22.0,158.0,1.407101874938235,0.0
