Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,501,363,-138,240,362.0,-0.28,
Existants,J2,0,0,0,171,-1.0,,
Existants,J3,0,0,0,201,-1.0,,
Existants,J4,389,971,582,201,970.0,1.5,
Existants,J5,0,0,0,236,-1.0,,
Existants,J6,445,1027,582,209,1026.0,1.31,
Existants,J7,176,916,740,250,915.0,4.2,
Existants,J8,117,155,38,204,154.0,0.32,
Existants,J9,0,0,0,83,-1.0,,
Existants,J10,177,153,-24,96,152.0,-0.14,
Nouveaux acceptés,J11,,973,,383,2.54,,
Nouveaux acceptés,J12,,100,,366,0.27,,
Nouveaux acceptés,J13,,208,,454,0.46,,
Nouveaux acceptés,J14,,409,,518,0.79,,
Nouveaux acceptés,J15,,415,,442,0.94,,
Nouveaux acceptés,J16,,873,,418,2.09,,
Nouveaux acceptés,J17,,13,,447,0.03,,
Nouveaux acceptés,J18,,285,,515,0.55,,
Nouveaux acceptés,J19,,0,,409,0.0,,
