Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,162,-1.0,,
Existants,J2,167,125,-42,105,124.0,-0.25,
Existants,J3,175,438,263,129,437.0,1.5,
Existants,J4,0,0,0,194,-1.0,,
Existants,J5,156,114,-42,79,113.0,-0.27,
Nouveaux acceptés,J6,,232,,182,1.27,,
Nouveaux acceptés,J7,,431,,130,3.32,,
Nouveaux acceptés,J8,,85,,186,0.46,,
Nouveaux acceptés,J9,,51,,136,0.38,,
Nouveaux acceptés,J10,,279,,175,1.59,,
Nouveaux acceptés,J11,,224,,120,1.87,,
Nouveaux acceptés,J12,,108,,169,0.64,,
Nouveaux acceptés,J13,,52,,172,0.3,,
Nouveaux acceptés,J14,,265,,155,1.71,,
