Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,76,0,-76,162,-1.0,-1.0,
Existants,J2,198,383,185,105,382.0,0.93,
Existants,J3,138,82,-56,129,81.0,-0.41,
Existants,J4,0,0,0,194,-1.0,,
Existants,J5,165,217,52,79,216.0,0.32,
Nouveaux acceptés,J6,,325,,299,1.09,,
Nouveaux acceptés,J7,,468,,219,2.14,,
Nouveaux acceptés,J8,,451,,167,2.7,,
Nouveaux acceptés,J9,,259,,223,1.16,,
Nouveaux acceptés,J10,,32,,173,0.18,,
Nouveaux acceptés,J11,,166,,212,0.78,,
Nouveaux acceptés,J12,,168,,165,1.02,,
Nouveaux acceptés,J13,,554,,196,2.83,,
Nouveaux acceptés,J14,,398,,157,2.54,,
Nouveaux acceptés,J15,,235,,206,1.14,,
Nouveaux acceptés,J16,,202,,233,0.87,,
Nouveaux acceptés,J17,,118,,209,0.56,,
Nouveaux acceptés,J18,,192,,192,1.0,,
