Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,76,0,-76,162,-1.0,-1.0,
Existants,J2,198,274,76,105,273.0,0.38,
Existants,J3,138,83,-55,129,82.0,-0.4,
Existants,J4,0,0,0,194,-1.0,,
Existants,J5,165,208,43,79,207.0,0.26,
Nouveaux acceptés,J6,,277,,219,1.26,,
Nouveaux acceptés,J7,,197,,223,0.88,,
Nouveaux acceptés,J8,,108,,173,0.62,,
Nouveaux acceptés,J9,,161,,212,0.76,,
Nouveaux acceptés,J10,,159,,165,0.96,,
Nouveaux acceptés,J11,,345,,157,2.2,,
Nouveaux acceptés,J12,,220,,206,1.07,,
Nouveaux acceptés,J13,,11,,237,0.05,,
Nouveaux acceptés,J14,,109,,209,0.52,,
