Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,162,-1.0,,
Existants,J2,167,152,-15,105,151.0,-0.09,
Existants,J3,175,291,116,129,290.0,0.66,
Existants,J4,0,0,0,194,-1.0,,
Existants,J5,156,92,-64,79,91.0,-0.41,
Nouveaux acceptés,J6,,22,,186,0.12,,
Nouveaux acceptés,J7,,115,,136,0.85,,
Nouveaux acceptés,J8,,127,,175,0.73,,
Nouveaux acceptés,J9,,204,,120,1.7,,
Nouveaux acceptés,J10,,45,,169,0.27,,
Nouveaux acceptés,J11,,172,,172,1.0,,
