Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,59,59,0,118,58.0,0.0,
Existants,J2,0,0,0,130,-1.0,,
Nouveaux acceptés,J3,,42,,240,0.17,,
Nouveaux acceptés,J4,,54,,275,0.2,,
Nouveaux acceptés,J5,,141,,252,0.56,,
