Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,313,325,12,156,324.0,0.04,
Existants,J2,219,280,61,136,279.0,0.28,
Existants,J3,0,0,0,187,-1.0,,
Existants,J4,231,120,-111,184,119.0,-0.48,
Existants,J5,451,532,81,79,531.0,0.18,
Existants,J6,8,8,0,118,7.0,0.0,
Existants,J7,0,0,0,72,-1.0,,
Existants,J8,82,57,-25,176,56.0,-0.3,
Existants,J9,71,308,237,114,307.0,3.34,
Existants,J10,71,16,-55,152,15.0,-0.77,
Nouveaux acceptés,J11,,287,,443,0.65,,
Nouveaux acceptés,J12,,114,,395,0.29,,
Nouveaux acceptés,J13,,110,,439,0.25,,
Nouveaux acceptés,J14,,11,,187,0.06,,
