Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,0.99,38,38,0,0,0,0.0,0,231,76
Existants,J2,0.87,205,225,20,49,69,60.05,20,231,156
Existants,J3,0.92,96,61,-35,24,0,0.0,-24,231,72
Existants,J4,0.92,90,102,12,10,22,20.2,12,231,80
Nouveaux acceptés,J5,0.37,,231,,,54,19.74,,231,177
