Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,210,591,381,156,590.0,1.81,
Existants,J2,0,0,0,114,-1.0,,
Existants,J3,110,102,-8,216,101.0,-0.07,
Existants,J4,421,289,-132,170,288.0,-0.31,
Existants,J5,366,302,-64,163,301.0,-0.17,
Existants,J6,30,0,-30,140,-1.0,-1.0,
Existants,J7,80,74,-6,143,73.0,-0.07,
Existants,J8,504,606,102,179,605.0,0.2,
Existants,J9,0,0,0,192,-1.0,,
Existants,J10,181,32,-149,240,31.0,-0.82,
Nouveaux acceptés,J11,,516,,404,1.28,,
Nouveaux acceptés,J12,,68,,442,0.15,,
Nouveaux acceptés,J13,,178,,376,0.47,,
Nouveaux acceptés,J14,,475,,384,1.24,,
Nouveaux acceptés,J15,,606,,427,1.42,,
Nouveaux acceptés,J16,,288,,325,0.89,,
