Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,210,210,0,156,209.0,0.0,
Existants,J2,0,0,0,114,-1.0,,
Existants,J3,110,110,0,216,109.0,0.0,
Existants,J4,421,378,-43,170,377.0,-0.1,
Existants,J5,366,471,105,163,470.0,0.29,
Existants,J6,30,30,0,140,29.0,0.0,
Existants,J7,80,80,0,143,79.0,0.0,
Existants,J8,504,567,63,179,566.0,0.12,
Existants,J9,0,0,0,192,-1.0,,
Existants,J10,181,181,0,240,180.0,0.0,
Nouveaux acceptés,J11,,208,,505,0.41,,
Nouveaux acceptés,J12,,309,,498,0.62,,
Nouveaux acceptés,J13,,282,,519,0.54,,
