Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,162,-1.0,,
Existants,J2,167,125,-42,105,124.0,-0.25,
Existants,J3,175,384,209,129,383.0,1.19,
Existants,J4,0,30,30,194,29.0,,
Existants,J5,156,202,46,79,201.0,0.29,
Nouveaux acceptés,J6,,176,,205,0.86,,
Nouveaux acceptés,J7,,68,,261,0.26,,
Nouveaux acceptés,J8,,92,,211,0.44,,
Nouveaux acceptés,J9,,25,,250,0.1,,
Nouveaux acceptés,J10,,0,,234,0.0,,
Nouveaux acceptés,J11,,162,,275,0.59,,
