Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,329,442,113,230,441.0,0.34,
Existants,J2,204,149,-55,197,148.0,-0.27,
Existants,J3,307,261,-46,206,260.0,-0.15,
Existants,J4,0,0,0,212,-1.0,,
Existants,J5,133,183,50,100,182.0,0.38,
Existants,J6,0,0,0,205,-1.0,,
Existants,J7,104,0,-104,180,-1.0,-1.0,
Existants,J8,277,497,220,181,496.0,0.79,
Existants,J9,0,0,0,260,-1.0,,
Existants,J10,455,274,-181,199,273.0,-0.4,
Existants,J11,0,0,0,214,-1.0,,
Nouveaux acceptés,J12,,580,,311,1.86,,
Nouveaux acceptés,J13,,459,,281,1.63,,
Nouveaux acceptés,J14,,471,,298,1.58,,
Nouveaux acceptés,J15,,566,,382,1.48,,
Nouveaux acceptés,J16,,460,,360,1.28,,
