Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,42,0,-42,162,-1.0,-1.0,
Existants,J2,154,42,-112,105,41.0,-0.73,
Existants,J3,157,101,-56,129,100.0,-0.36,
Existants,J4,59,102,43,194,101.0,0.73,
Existants,J5,131,323,192,79,322.0,1.47,
Nouveaux acceptés,J6,,46,,152,0.3,,
Nouveaux acceptés,J7,,285,,155,1.84,,
Nouveaux acceptés,J8,,171,,209,0.82,,
