Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,10,0,-10,162,-1.0,-1.0,
Existants,J2,181,149,-32,105,148.0,-0.18,
Existants,J3,121,259,138,129,258.0,1.14,
Existants,J4,27,11,-16,194,10.0,-0.59,
Existants,J5,148,46,-102,79,45.0,-0.69,
Nouveaux acceptés,J6,,269,,182,1.48,,
Nouveaux acceptés,J7,,112,,136,0.82,,
Nouveaux acceptés,J8,,124,,175,0.71,,
Nouveaux acceptés,J9,,355,,159,2.23,,
Nouveaux acceptés,J10,,201,,120,1.68,,
Nouveaux acceptés,J11,,42,,169,0.25,,
Nouveaux acceptés,J12,,0,,172,0.0,,
