Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,191,70,-121,121,69.0,-0.63,
Existants,J2,118,189,71,150,188.0,0.6,
Existants,J3,0,0,0,85,-1.0,,
Existants,J4,61,143,82,117,142.0,1.34,
Existants,J5,28,28,0,77,27.0,0.0,
Nouveaux acceptés,J6,,12,,165,0.07,,
Nouveaux acceptés,J7,,194,,181,1.07,,
