Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,10,0,-10,162,-1.0,-1.0,
Existants,J2,181,374,193,105,373.0,1.07,
Existants,J3,121,82,-39,129,81.0,-0.32,
Existants,J4,27,0,-27,194,-1.0,-1.0,
Existants,J5,148,166,18,79,165.0,0.12,
Nouveaux acceptés,J6,,125,,299,0.42,,
Nouveaux acceptés,J7,,442,,219,2.02,,
Nouveaux acceptés,J8,,431,,167,2.58,,
Nouveaux acceptés,J9,,293,,223,1.31,,
Nouveaux acceptés,J10,,32,,173,0.18,,
Nouveaux acceptés,J11,,261,,212,1.23,,
Nouveaux acceptés,J12,,131,,165,0.79,,
Nouveaux acceptés,J13,,528,,196,2.69,,
Nouveaux acceptés,J14,,389,,157,2.48,,
Nouveaux acceptés,J15,,185,,209,0.89,,
Nouveaux acceptés,J16,,171,,192,0.89,,
