Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,223,277,54,157,276.0,0.24,
Existants,J2,8,8,0,103,7.0,0.0,
Existants,J3,38,38,0,172,37.0,0.0,
Existants,J4,311,441,130,150,440.0,0.42,
Existants,J5,8,8,0,140,7.0,0.0,
Existants,J6,431,656,225,161,655.0,0.52,
Existants,J7,428,330,-98,180,329.0,-0.23,
Existants,J8,170,170,0,96,169.0,0.0,
Nouveaux acceptés,J9,,579,,478,1.21,,
Nouveaux acceptés,J10,,467,,475,0.98,,
Nouveaux acceptés,J11,,0,,415,0.0,,
Nouveaux acceptés,J12,,571,,425,1.34,,
Nouveaux acceptés,J13,,212,,433,0.49,,
Nouveaux acceptés,J14,,325,,418,0.78,,
Nouveaux acceptés,J15,,237,,456,0.52,,
