Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,32,32,0,112,31.0,0.0,
Existants,J2,109,109,0,115,108.0,0.0,
Existants,J3,101,101,0,164,100.0,0.0,
Existants,J4,0,0,0,152,-1.0,,
Nouveaux acceptés,J5,,136,,397,0.34,,
Nouveaux acceptés,J6,,25,,459,0.05,,
Nouveaux acceptés,J7,,140,,429,0.33,,
Nouveaux acceptés,J8,,246,,415,0.59,,
Nouveaux acceptés,J9,,251,,404,0.62,,
Nouveaux acceptés,J10,,23,,396,0.06,,
Nouveaux acceptés,J11,,16,,364,0.04,,
Nouveaux acceptés,J12,,179,,401,0.45,,
Nouveaux acceptés,J13,,331,,454,0.73,,
Nouveaux acceptés,J14,,286,,414,0.69,,
Nouveaux acceptés,J15,,0,,386,0.0,,
