Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,216,883,667,235,882.0,3.09,
Existants,J2,425,330,-95,141,329.0,-0.22,
Existants,J3,67,295,228,170,294.0,3.4,
Existants,J4,0,0,0,118,-1.0,,
Existants,J5,168,228,60,264,227.0,0.36,
Existants,J6,442,683,241,218,682.0,0.55,
Existants,J7,32,13,-19,288,12.0,-0.59,
Existants,J8,143,114,-29,145,113.0,-0.2,
Existants,J9,0,0,0,219,-1.0,,
Existants,J10,0,0,0,285,-1.0,,
Existants,J11,47,0,-47,139,-1.0,-1.0,
Existants,J12,0,0,0,184,-1.0,,
Existants,J13,242,5,-237,260,4.0,-0.98,
Existants,J14,580,486,-94,154,485.0,-0.16,
Nouveaux acceptés,J15,,781,,295,2.65,,
Nouveaux acceptés,J16,,499,,396,1.26,,
Nouveaux acceptés,J17,,466,,268,1.74,,
Nouveaux acceptés,J18,,463,,206,2.25,,
Nouveaux acceptés,J19,,668,,279,2.39,,
Nouveaux acceptés,J20,,836,,388,2.15,,
