Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,83,-1.0,,
Existants,J2,19,19,0,129,18.0,0.0,
Existants,J3,88,88,0,108,87.0,0.0,
Existants,J4,15,15,0,87,14.0,0.0,
Nouveaux acceptés,J5,,294,,308,0.95,,
Nouveaux acceptés,J6,,0,,259,0.0,,
Nouveaux acceptés,J7,,184,,270,0.68,,
Nouveaux acceptés,J8,,197,,345,0.57,,
Nouveaux acceptés,J9,,444,,285,1.56,,
Nouveaux acceptés,J10,,240,,266,0.9,,
Nouveaux acceptés,J11,,125,,270,0.46,,
Nouveaux acceptés,J12,,125,,335,0.37,,
Nouveaux acceptés,J13,,117,,284,0.41,,
Nouveaux acceptés,J14,,330,,317,1.04,,
Nouveaux acceptés,J15,,0,,267,0.0,,
