Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,1.0,121,63,-58,44,0,0.0,-44,170,77
Existants,J2,1.0,84,113,29,4,33,33.0,29,170,80
Nouveaux acceptés,J3,1.0,,103,,,8,8.0,,170,95
Nouveaux acceptés,J4,1.0,,170,,,35,35.0,,170,135
