Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,386,467,81,106,466.0,0.21,
Existants,J2,411,492,81,148,491.0,0.2,
Existants,J3,57,57,0,186,56.0,0.0,
Existants,J4,0,0,0,198,-1.0,,
Existants,J5,35,35,0,64,34.0,0.0,
Existants,J6,0,0,0,96,-1.0,,
Existants,J7,186,327,141,138,326.0,0.76,
Existants,J8,313,394,81,146,393.0,0.26,
Nouveaux acceptés,J9,,467,,337,1.39,,
Nouveaux acceptés,J10,,399,,283,1.41,,
Nouveaux acceptés,J11,,0,,304,0.0,,
Nouveaux acceptés,J12,,8,,297,0.03,,
Nouveaux acceptés,J13,,95,,320,0.3,,
Nouveaux acceptés,J14,,469,,378,1.24,,
