Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,10,0,-10,162,-1.0,-1.0,
Existants,J2,159,152,-7,105,151.0,-0.04,
Existants,J3,167,183,16,129,182.0,0.1,
Existants,J4,27,0,-27,194,-1.0,-1.0,
Existants,J5,148,139,-9,79,138.0,-0.06,
Nouveaux acceptés,J6,,257,,262,0.98,,
Nouveaux acceptés,J7,,383,,130,2.95,,
Nouveaux acceptés,J8,,359,,186,1.93,,
Nouveaux acceptés,J9,,115,,136,0.85,,
Nouveaux acceptés,J10,,131,,175,0.75,,
Nouveaux acceptés,J11,,183,,200,0.92,,
Nouveaux acceptés,J12,,393,,172,2.28,,
Nouveaux acceptés,J13,,295,,155,1.9,,
