Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,386,538,152,106,537.0,0.39,
Existants,J2,411,376,-35,148,375.0,-0.09,
Existants,J3,57,57,0,186,56.0,0.0,
Existants,J4,0,0,0,198,-1.0,,
Existants,J5,35,35,0,64,34.0,0.0,
Existants,J6,0,0,0,96,-1.0,,
Existants,J7,186,191,5,138,190.0,0.03,
Existants,J8,313,295,-18,146,294.0,-0.06,
Nouveaux acceptés,J9,,221,,283,0.78,,
Nouveaux acceptés,J10,,419,,301,1.39,,
Nouveaux acceptés,J11,,264,,297,0.89,,
