Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,42,0,-42,162,-1.0,-1.0,
Existants,J2,154,42,-112,105,41.0,-0.73,
Existants,J3,157,377,220,129,376.0,1.4,
Existants,J4,59,133,74,194,132.0,1.25,
Existants,J5,131,399,268,79,398.0,2.05,
Nouveaux acceptés,J6,,335,,299,1.12,,
Nouveaux acceptés,J7,,350,,219,1.6,,
Nouveaux acceptés,J8,,33,,165,0.2,,
Nouveaux acceptés,J9,,65,,196,0.33,,
Nouveaux acceptés,J10,,544,,157,3.46,,
Nouveaux acceptés,J11,,178,,233,0.76,,
