Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,289,289,0,131,288.0,0.0,
Existants,J2,143,143,0,165,142.0,0.0,
Existants,J3,266,266,0,118,265.0,0.0,
Existants,J4,22,22,0,176,21.0,0.0,
Existants,J5,46,46,0,106,45.0,0.0,
Existants,J6,0,0,0,103,-1.0,,
Existants,J7,84,84,0,184,83.0,0.0,
Existants,J8,28,28,0,176,27.0,0.0,
Nouveaux acceptés,J9,,0,,504,0.0,,
Nouveaux acceptés,J10,,313,,551,0.57,,
Nouveaux acceptés,J11,,0,,557,0.0,,
Nouveaux acceptés,J12,,0,,514,0.0,,
Nouveaux acceptés,J13,,224,,561,0.4,,
Nouveaux acceptés,J14,,79,,483,0.16,,
Nouveaux acceptés,J15,,59,,553,0.11,,
Nouveaux acceptés,J16,,263,,561,0.47,,
