Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,42,0,-42,162,-1.0,-1.0,
Existants,J2,154,110,-44,105,109.0,-0.29,
Existants,J3,157,202,45,129,201.0,0.29,
Existants,J4,59,53,-6,194,52.0,-0.1,
Existants,J5,131,85,-46,79,84.0,-0.35,
Nouveaux acceptés,J6,,284,,130,2.18,,
Nouveaux acceptés,J7,,254,,186,1.37,,
Nouveaux acceptés,J8,,22,,136,0.16,,
Nouveaux acceptés,J9,,34,,175,0.19,,
Nouveaux acceptés,J10,,162,,200,0.81,,
Nouveaux acceptés,J11,,288,,172,1.67,,
