Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,261,44,-217,164,43.0,-0.83,
Existants,J2,203,302,99,158,301.0,0.49,
Existants,J3,143,195,52,156,194.0,0.36,
Existants,J4,68,381,313,185,380.0,4.6,
Existants,J5,0,32,32,112,31.0,,
Existants,J6,80,34,-46,71,33.0,-0.57,
Nouveaux acceptés,J7,,370,,190,1.95,,
Nouveaux acceptés,J8,,99,,172,0.58,,
Nouveaux acceptés,J9,,101,,164,0.62,,
