Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,0.95,100,96,-4,0,0,0.0,0,215,118
Existants,J2,0.98,53,53,0,0,0,0.0,0,215,66
Existants,J3,0.92,161,157,-4,27,23,21.25,-4,215,134
Nouveaux acceptés,J4,0.08,,215,,,38,3.09,,215,177
