Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,1.0,122,138,16,55,71,71.0,16,155,67
Existants,J2,1.0,72,72,0,0,0,0.0,0,155,115
Nouveaux acceptés,J3,1.0,,155,,,0,0.0,,155,161
