Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,223,223,0,157,222.0,0.0,
Existants,J2,8,8,0,103,7.0,0.0,
Existants,J3,38,38,0,172,37.0,0.0,
Existants,J4,311,311,0,150,310.0,0.0,
Existants,J5,8,8,0,140,7.0,0.0,
Existants,J6,431,445,14,161,444.0,0.03,
Existants,J7,428,420,-8,180,419.0,-0.02,
Existants,J8,170,170,0,96,169.0,0.0,
Nouveaux acceptés,J9,,235,,706,0.33,,
Nouveaux acceptés,J10,,162,,688,0.24,,
Nouveaux acceptés,J11,,46,,627,0.07,,
Nouveaux acceptés,J12,,107,,664,0.16,,
Nouveaux acceptés,J13,,383,,706,0.54,,
Nouveaux acceptés,J14,,25,,642,0.04,,
Nouveaux acceptés,J15,,334,,706,0.47,,
