Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,10,0,-10,162,-1.0,-1.0,
Existants,J2,208,316,108,105,315.0,0.52,
Existants,J3,143,105,-38,129,104.0,-0.27,
Existants,J4,50,0,-50,194,-1.0,-1.0,
Existants,J5,99,127,28,79,126.0,0.28,
Nouveaux acceptés,J6,,471,,299,1.58,,
Nouveaux acceptés,J7,,139,,219,0.63,,
Nouveaux acceptés,J8,,440,,160,2.75,,
Nouveaux acceptés,J9,,396,,165,2.4,,
Nouveaux acceptés,J10,,328,,196,1.67,,
Nouveaux acceptés,J11,,552,,157,3.52,,
Nouveaux acceptés,J12,,436,,206,2.12,,
Nouveaux acceptés,J13,,182,,233,0.78,,
