Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,501,308,-193,240,307.0,-0.39,
Existants,J2,0,0,0,171,-1.0,,
Existants,J3,0,0,0,201,-1.0,,
Existants,J4,389,539,150,201,538.0,0.39,
Existants,J5,0,0,0,236,-1.0,,
Existants,J6,445,695,250,209,694.0,0.56,
Existants,J7,176,193,17,250,192.0,0.1,
Existants,J8,117,117,0,204,116.0,0.0,
Existants,J9,0,0,0,83,-1.0,,
Existants,J10,177,177,0,96,176.0,0.0,
Nouveaux acceptés,J11,,598,,508,1.18,,
Nouveaux acceptés,J12,,51,,503,0.1,,
Nouveaux acceptés,J13,,600,,467,1.28,,
Nouveaux acceptés,J14,,500,,506,0.99,,
Nouveaux acceptés,J15,,256,,461,0.56,,
Nouveaux acceptés,J16,,334,,456,0.73,,
Nouveaux acceptés,J17,,83,,512,0.16,,
