Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,162,-1.0,,
Existants,J2,167,208,41,105,207.0,0.25,
Existants,J3,175,140,-35,129,139.0,-0.2,
Existants,J4,0,236,236,194,235.0,,
Existants,J5,156,70,-86,79,69.0,-0.55,
Nouveaux acceptés,J6,,120,,261,0.46,,
Nouveaux acceptés,J7,,7,,211,0.03,,
Nouveaux acceptés,J8,,13,,250,0.05,,
Nouveaux acceptés,J9,,233,,203,1.15,,
Nouveaux acceptés,J10,,69,,275,0.25,,
Nouveaux acceptés,J11,,209,,247,0.85,,
