Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,327,312,-15,133,311.0,-0.05,
Existants,J2,520,417,-103,229,416.0,-0.2,
Existants,J3,0,0,0,134,-1.0,,
Existants,J4,445,666,221,183,665.0,0.5,
Existants,J5,240,18,-222,284,17.0,-0.93,
Existants,J6,213,550,337,102,549.0,1.58,
Existants,J7,0,0,0,163,-1.0,,
Existants,J8,480,234,-246,239,233.0,-0.51,
Existants,J9,276,199,-77,159,198.0,-0.28,
Existants,J10,114,497,383,236,496.0,3.36,
Existants,J11,25,25,0,140,24.0,0.0,
Existants,J12,34,133,99,231,132.0,2.91,
Existants,J13,0,0,0,95,-1.0,,
Nouveaux acceptés,J14,,0,,251,0.0,,
Nouveaux acceptés,J15,,513,,300,1.71,,
Nouveaux acceptés,J16,,632,,346,1.83,,
Nouveaux acceptés,J17,,557,,362,1.54,,
Nouveaux acceptés,J18,,80,,428,0.19,,
