Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,76,0,-76,162,-1.0,-1.0,
Existants,J2,198,304,106,105,303.0,0.54,
Existants,J3,138,225,87,129,224.0,0.63,
Existants,J4,0,0,0,194,-1.0,,
Existants,J5,165,127,-38,79,126.0,-0.23,
Nouveaux acceptés,J6,,231,,257,0.9,,
Nouveaux acceptés,J7,,143,,205,0.7,,
Nouveaux acceptés,J8,,253,,261,0.97,,
Nouveaux acceptés,J9,,68,,211,0.32,,
Nouveaux acceptés,J10,,153,,250,0.61,,
Nouveaux acceptés,J11,,43,,203,0.21,,
Nouveaux acceptés,J12,,339,,234,1.45,,
Nouveaux acceptés,J13,,10,,275,0.04,,
Nouveaux acceptés,J14,,182,,247,0.74,,
