size,instance,path,status,nb_orders,nb_jobs,cmax,total_delay,computation_time_sec,error
m,instance_15.json,data/orders_instances/test/m/instance_15.json,OK,3,12,358,378,0.10023824998643249,
m,instance_16.json,data/orders_instances/test/m/instance_16.json,OK,3,9,405,285,0.058530583046376705,
m,instance_17.json,data/orders_instances/test/m/instance_17.json,OK,3,9,294,204,0.050368666008580476,
m,instance_18.json,data/orders_instances/test/m/instance_18.json,OK,3,12,358,661,0.1887194580049254,
m,instance_19.json,data/orders_instances/test/m/instance_19.json,OK,3,6,277,159,0.04814445902593434,
m,instance_2.json,data/orders_instances/test/m/instance_2.json,OK,3,9,183,75,0.05012170801637694,
m,instance_20.json,data/orders_instances/test/m/instance_20.json,OK,3,6,284,189,0.036803958006203175,
m,instance_21.json,data/orders_instances/test/m/instance_21.json,OK,3,6,243,88,0.04349741694750264,
m,instance_22.json,data/orders_instances/test/m/instance_22.json,OK,3,6,262,124,0.03565204096958041,
m,instance_23.json,data/orders_instances/test/m/instance_23.json,OK,3,9,254,172,0.06799408298684284,
m,instance_24.json,data/orders_instances/test/m/instance_24.json,OK,3,12,359,552,0.20875008299481124,
m,instance_25.json,data/orders_instances/test/m/instance_25.json,OK,3,6,227,67,0.026109166035894305,
m,instance_26.json,data/orders_instances/test/m/instance_26.json,OK,3,6,279,165,0.05598541704239324,
m,instance_27.json,data/orders_instances/test/m/instance_27.json,OK,3,9,463,408,0.058783458021935076,
m,instance_28.json,data/orders_instances/test/m/instance_28.json,OK,3,6,277,85,0.03454545798012987,
m,instance_29.json,data/orders_instances/test/m/instance_29.json,OK,3,9,401,383,0.07371483300812542,
m,instance_3.json,data/orders_instances/test/m/instance_3.json,OK,3,6,226,155,0.025207375001627952,
m,instance_30.json,data/orders_instances/test/m/instance_30.json,OK,3,9,373,285,0.07441604096675292,
m,instance_31.json,data/orders_instances/test/m/instance_31.json,OK,3,9,344,183,0.05685862503014505,
m,instance_32.json,data/orders_instances/test/m/instance_32.json,OK,3,6,237,54,0.026086208992637694,
m,instance_33.json,data/orders_instances/test/m/instance_33.json,OK,3,12,225,152,0.060046832950320095,
m,instance_34.json,data/orders_instances/test/m/instance_34.json,OK,3,9,325,285,0.060496667050756514,
m,instance_35.json,data/orders_instances/test/m/instance_35.json,OK,3,6,316,235,0.03071558300871402,
m,instance_36.json,data/orders_instances/test/m/instance_36.json,OK,3,9,430,588,0.11738483404042199,
m,instance_37.json,data/orders_instances/test/m/instance_37.json,OK,3,9,265,238,0.07243504200596362,
m,instance_38.json,data/orders_instances/test/m/instance_38.json,OK,3,6,337,162,0.04171608301112428,
m,instance_39.json,data/orders_instances/test/m/instance_39.json,OK,3,12,289,283,0.10704400000395253,
m,instance_4.json,data/orders_instances/test/m/instance_4.json,OK,3,9,355,186,0.04272783297346905,
m,instance_40.json,data/orders_instances/test/m/instance_40.json,OK,3,9,283,300,0.058041750045958906,
m,instance_41.json,data/orders_instances/test/m/instance_41.json,OK,3,6,325,84,0.03787379199638963,
m,instance_42.json,data/orders_instances/test/m/instance_42.json,OK,3,9,431,653,0.07017683301819488,
m,instance_43.json,data/orders_instances/test/m/instance_43.json,OK,3,12,480,711,0.2951081670471467,
m,instance_44.json,data/orders_instances/test/m/instance_44.json,OK,3,12,303,293,0.1344328750274144,
m,instance_45.json,data/orders_instances/test/m/instance_45.json,OK,3,9,291,301,0.06945445801829919,
m,instance_46.json,data/orders_instances/test/m/instance_46.json,OK,3,9,483,590,0.09559041605098173,
m,instance_47.json,data/orders_instances/test/m/instance_47.json,OK,3,12,272,302,0.08025600004475564,
m,instance_48.json,data/orders_instances/test/m/instance_48.json,OK,3,12,203,51,0.06603679101681337,
m,instance_49.json,data/orders_instances/test/m/instance_49.json,OK,3,6,296,156,0.053570999996736646,
m,instance_5.json,data/orders_instances/test/m/instance_5.json,OK,3,9,388,262,0.06307308399118483,
m,instance_50.json,data/orders_instances/test/m/instance_50.json,OK,3,6,260,77,0.038028999988455325,
m,instance_6.json,data/orders_instances/test/m/instance_6.json,OK,3,6,426,299,0.04704762500477955,
m,instance_7.json,data/orders_instances/test/m/instance_7.json,OK,3,6,209,79,0.035817208990920335,
m,instance_8.json,data/orders_instances/test/m/instance_8.json,OK,3,12,410,510,0.11838895798427984,
