Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,76,431,355,162,430.0,4.67,
Existants,J2,198,91,-107,105,90.0,-0.54,
Existants,J3,138,405,267,129,404.0,1.93,
Existants,J4,0,0,0,194,-1.0,,
Existants,J5,165,0,-165,79,-1.0,-1.0,
Nouveaux acceptés,J6,,196,,262,0.75,,
Nouveaux acceptés,J7,,474,,182,2.6,,
Nouveaux acceptés,J8,,322,,130,2.48,,
Nouveaux acceptés,J9,,36,,186,0.19,,
Nouveaux acceptés,J10,,133,,136,0.98,,
Nouveaux acceptés,J11,,145,,175,0.83,,
Nouveaux acceptés,J12,,147,,128,1.15,,
Nouveaux acceptés,J13,,560,,159,3.52,,
Nouveaux acceptés,J14,,222,,120,1.85,,
Nouveaux acceptés,J15,,0,,200,0.0,,
Nouveaux acceptés,J16,,18,,172,0.1,,
