Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,14,14,0,181,13.0,0.0,
Existants,J2,0,0,0,108,-1.0,,
Nouveaux acceptés,J3,,74,,257,0.29,,
Nouveaux acceptés,J4,,41,,261,0.16,,
Nouveaux acceptés,J5,,33,,344,0.1,,
