Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,10,0,-10,162,-1.0,-1.0,
Existants,J2,208,235,27,105,234.0,0.13,
Existants,J3,143,114,-29,129,113.0,-0.2,
Existants,J4,50,21,-29,194,20.0,-0.58,
Existants,J5,99,70,-29,79,69.0,-0.29,
Nouveaux acceptés,J6,,423,,337,1.26,,
Nouveaux acceptés,J7,,392,,198,1.98,,
Nouveaux acceptés,J8,,317,,203,1.56,,
Nouveaux acceptés,J9,,169,,234,0.72,,
Nouveaux acceptés,J10,,504,,195,2.58,,
Nouveaux acceptés,J11,,388,,244,1.59,,
Nouveaux acceptés,J12,,216,,271,0.8,,
