Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,104,104,0,100,103.0,0.0,
Existants,J2,227,227,0,71,226.0,0.0,
Existants,J3,296,328,32,178,327.0,0.11,
Existants,J4,3,3,0,121,2.0,0.0,
Existants,J5,272,272,0,85,271.0,0.0,
Existants,J6,0,0,0,186,-1.0,,
Existants,J7,370,304,-66,148,303.0,-0.18,
Existants,J8,404,392,-12,243,391.0,-0.03,
Existants,J9,262,262,0,158,261.0,0.0,
Existants,J10,43,43,0,87,42.0,0.0,
Existants,J11,0,0,0,97,-1.0,,
Existants,J12,19,19,0,225,18.0,0.0,
Existants,J13,0,0,0,218,-1.0,,
Nouveaux acceptés,J14,,139,,553,0.25,,
Nouveaux acceptés,J15,,51,,514,0.1,,
Nouveaux acceptés,J16,,272,,534,0.51,,
Nouveaux acceptés,J17,,271,,511,0.53,,
Nouveaux acceptés,J18,,0,,505,0.0,,
