Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,149,-1.0,,
Existants,J2,151,314,163,195,313.0,1.08,
Existants,J3,379,152,-227,145,151.0,-0.6,
Existants,J4,63,63,0,165,62.0,0.0,
Existants,J5,272,383,111,180,382.0,0.41,
Existants,J6,0,0,0,142,-1.0,,
Nouveaux acceptés,J7,,136,,225,0.6,,
Nouveaux acceptés,J8,,583,,453,1.29,,
Nouveaux acceptés,J9,,0,,412,0.0,,
Nouveaux acceptés,J10,,540,,278,1.94,,
Nouveaux acceptés,J11,,466,,275,1.69,,
Nouveaux acceptés,J12,,580,,398,1.46,,
Nouveaux acceptés,J13,,0,,294,0.0,,
Nouveaux acceptés,J14,,0,,429,0.0,,
Nouveaux acceptés,J15,,363,,315,1.15,,
Nouveaux acceptés,J16,,674,,424,1.59,,
Nouveaux acceptés,J17,,567,,329,1.72,,
