Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,0.84,167,167,0,0,0,0.0,0,236,181
Existants,J2,0.98,161,161,0,53,53,52.17,0,236,108
Nouveaux acceptés,J3,0.05,,196,,,23,1.26,,236,173
Nouveaux acceptés,J4,0.14,,236,,,69,9.93,,236,167
