Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,501,114,-387,240,113.0,-0.77,
Existants,J2,0,0,0,171,-1.0,,
Existants,J3,0,0,0,201,-1.0,,
Existants,J4,389,512,123,201,511.0,0.32,
Existants,J5,0,0,0,236,-1.0,,
Existants,J6,445,614,169,209,613.0,0.38,
Existants,J7,176,298,122,250,297.0,0.69,
Existants,J8,117,207,90,204,206.0,0.77,
Existants,J9,0,0,0,83,-1.0,,
Existants,J10,177,153,-24,96,152.0,-0.14,
Nouveaux acceptés,J11,,188,,366,0.51,,
Nouveaux acceptés,J12,,477,,454,1.05,,
Nouveaux acceptés,J13,,674,,523,1.29,,
Nouveaux acceptés,J14,,749,,518,1.45,,
Nouveaux acceptés,J15,,721,,442,1.63,,
Nouveaux acceptés,J16,,611,,418,1.46,,
Nouveaux acceptés,J17,,158,,447,0.35,,
Nouveaux acceptés,J18,,248,,515,0.48,,
