Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,1.0,177,149,-28,59,31,31.0,-28,370,118
Existants,J2,1.0,129,143,14,0,13,13.0,13,370,130
Nouveaux acceptés,J3,1.0,,318,,,153,153.0,,370,165
Nouveaux acceptés,J4,1.0,,370,,,170,170.0,,370,200
Nouveaux acceptés,J5,1.0,,213,,,59,59.0,,370,154
