Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,223,301,78,157,300.0,0.35,
Existants,J2,8,8,0,103,7.0,0.0,
Existants,J3,38,38,0,172,37.0,0.0,
Existants,J4,311,402,91,150,401.0,0.29,
Existants,J5,8,8,0,140,7.0,0.0,
Existants,J6,431,458,27,161,457.0,0.06,
Existants,J7,428,222,-206,180,221.0,-0.48,
Existants,J8,170,170,0,96,169.0,0.0,
Nouveaux acceptés,J9,,296,,478,0.62,,
Nouveaux acceptés,J10,,534,,475,1.12,,
Nouveaux acceptés,J11,,288,,425,0.68,,
Nouveaux acceptés,J12,,519,,433,1.2,,
Nouveaux acceptés,J13,,195,,418,0.47,,
Nouveaux acceptés,J14,,447,,456,0.98,,
